Entity,Code,Year,Coal Production - TWh
Africa,,1981,909.9033433333332
Africa,,1982,998.7121947222222
Africa,,1983,1011.8727966666668
Africa,,1984,1128.4528458333332
Africa,,1985,1198.910662222222
Africa,,1986,1229.491193888889
Africa,,1987,1230.7749333333331
Africa,,1988,1264.931453611111
Africa,,1989,1228.4504005555557
Africa,,1990,1221.2260188888888
Africa,,1991,1244.8148102777775
Africa,,1992,1273.1393947222225
Africa,,1993,1296.9969405555555
Africa,,1994,1348.0317583333333
Africa,,1995,1416.04341
Africa,,1996,1411.6851802777776
Africa,,1997,1501.607581388889
Africa,,1998,1521.7465094444444
Africa,,1999,1519.3371783333334
Africa,,2000,1518.0176616666668
Africa,,2001,1514.2569430555557
Africa,,2002,1488.9234872222223
Africa,,2003,1599.9606094444446
Africa,,2004,1634.8584202777777
Africa,,2005,1645.393738611111
Africa,,2006,1634.157563888889
Africa,,2007,1633.5044844444444
Africa,,2008,1659.7474080555555
Africa,,2009,1645.727723888889
Africa,,2010,1706.9717883333333
Africa,,2011,1697.5177480555556
Africa,,2012,1766.9137822222222
Africa,,2013,1771.9929480555554
Africa,,2014,1831.7217183333328
Africa,,2015,1758.9639444444445
Africa,,2016,1782.0427219444443
Africa,,2017,1849.958605
Africa,,2018,1907.9033216666664
Africa,,2019,1898.7293758333333
Africa,,2020,1797.4649783333332
Asia Pacific,,1981,5779.086238888888
Asia Pacific,,1982,6076.253219444445
Asia Pacific,,1983,6433.60385
Asia Pacific,,1984,6965.853261111111
Asia Pacific,,1985,7708.579858333333
Asia Pacific,,1986,7978.928438888889
Asia Pacific,,1987,8299.696922222221
Asia Pacific,,1988,8641.846033333333
Asia Pacific,,1989,9265.44893611111
Asia Pacific,,1990,9534.057525
Asia Pacific,,1991,9720.994841666668
Asia Pacific,,1992,10056.278833333332
Asia Pacific,,1993,10319.89277777778
Asia Pacific,,1994,10900.698683333332
Asia Pacific,,1995,11816.443841666664
Asia Pacific,,1996,12238.811105555556
Asia Pacific,,1997,12411.1455
Asia Pacific,,1998,12139.653013888888
Asia Pacific,,1999,12475.035752777778
Asia Pacific,,2000,12979.74253888889
Asia Pacific,,2001,13782.383127777775
Asia Pacific,,2002,14601.391563888888
Asia Pacific,,2003,16544.380319444444
Asia Pacific,,2004,18872.62389722222
Asia Pacific,,2005,20862.300422222223
Asia Pacific,,2006,22342.563402777778
Asia Pacific,,2007,24015.516394444447
Asia Pacific,,2008,25068.34459722222
Asia Pacific,,2009,26036.116730555557
Asia Pacific,,2010,27902.001
Asia Pacific,,2011,30600.78819444444
Asia Pacific,,2012,31321.964472222226
Asia Pacific,,2013,32421.60733333333
Asia Pacific,,2014,32304.171388888888
Asia Pacific,,2015,32056.44677777777
Asia Pacific,,2016,30579.63011111111
Asia Pacific,,2017,31225.388194444444
Asia Pacific,,2018,33329.654444444444
Asia Pacific,,2019,34670.58861111111
Asia Pacific,,2020,34339.17113888889
Australia,AUS,1981,788.5712011111111
Australia,AUS,1982,804.9543041666666
Australia,AUS,1983,838.7407188888889
Australia,AUS,1984,880.9173219444443
Australia,AUS,1985,1074.3456702777778
Australia,AUS,1986,1142.859530833333
Australia,AUS,1987,1193.6675458333334
Australia,AUS,1988,1173.2935125
Australia,AUS,1989,1274.6780002777778
Australia,AUS,1990,1334.6012127777778
Australia,AUS,1991,1384.4242752777775
Australia,AUS,1992,1477.2352544444443
Australia,AUS,1993,1484.100065
Australia,AUS,1994,1516.9103519444443
Australia,AUS,1995,1591.8179891666666
Australia,AUS,1996,1640.6822566666667
Australia,AUS,1997,1789.1142891666666
Australia,AUS,1998,1832.1017852777777
Australia,AUS,1999,1931.9179208333333
Australia,AUS,2000,1996.8197844444444
Australia,AUS,2001,2157.920964722222
Australia,AUS,2002,2224.0463311111107
Australia,AUS,2003,2299.047704444444
Australia,AUS,2004,2388.8310366666665
Australia,AUS,2005,2501.288445
Australia,AUS,2006,2556.8404677777776
Australia,AUS,2007,2640.855274444444
Australia,AUS,2008,2720.621501388889
Australia,AUS,2009,2822.833886111111
Australia,AUS,2010,2914.7894666666666
Australia,AUS,2011,2850.8133666666668
Australia,AUS,2012,3091.909191666666
Australia,AUS,2013,3323.743272222222
Australia,AUS,2014,3559.449597222222
Australia,AUS,2015,3555.7026166666665
Australia,AUS,2016,3563.055752777778
Australia,AUS,2017,3473.3133916666666
Australia,AUS,2018,3636.380155555556
Australia,AUS,2019,3669.877677777778
Australia,AUS,2020,3451.008913888889
Brazil,BRA,1981,33.74405888888889
Brazil,BRA,1982,37.195046111111104
Brazil,BRA,1983,39.68397555555556
Brazil,BRA,1984,44.53918777777778
Brazil,BRA,1985,45.45385222222222
Brazil,BRA,1986,43.10174527777777
Brazil,BRA,1987,39.26487916666666
Brazil,BRA,1988,42.77326166666667
Brazil,BRA,1989,38.6034775
Brazil,BRA,1990,19.620711666666665
Brazil,BRA,1991,23.47046583333333
Brazil,BRA,1992,21.972292222222222
Brazil,BRA,1993,21.837795
Brazil,BRA,1994,24.354949722222223
Brazil,BRA,1995,23.892641666666663
Brazil,BRA,1996,22.26761083333333
Brazil,BRA,1997,26.05589222222222
Brazil,BRA,1998,25.49710805555556
Brazil,BRA,1999,26.12403972222222
Brazil,BRA,2000,31.22725388888889
Brazil,BRA,2001,26.80880583333333
Brazil,BRA,2002,29.793071388888887
Brazil,BRA,2003,27.19624083333333
Brazil,BRA,2004,31.538048888888888
Brazil,BRA,2005,33.07119222222222
Brazil,BRA,2006,33.04171
Brazil,BRA,2007,34.01414972222222
Brazil,BRA,2008,37.86603777777778
Brazil,BRA,2009,35.402791944444445
Brazil,BRA,2010,31.785671666666666
Brazil,BRA,2011,31.811421111111112
Brazil,BRA,2012,33.94787083333333
Brazil,BRA,2013,42.16507388888889
Brazil,BRA,2014,41.8268925
Brazil,BRA,2015,33.80048472222222
Brazil,BRA,2016,31.147717222222223
Brazil,BRA,2017,25.328681944444444
Brazil,BRA,2018,27.44856055555556
Brazil,BRA,2019,25.144266388888887
Brazil,BRA,2020,26.195266944444445
Bulgaria,BGR,1981,54.99801611111111
Bulgaria,BGR,1982,60.48164194444444
Bulgaria,BGR,1983,60.81574166666667
Bulgaria,BGR,1984,60.70202583333334
Bulgaria,BGR,1985,57.95498555555555
Bulgaria,BGR,1986,65.98147999999999
Bulgaria,BGR,1987,68.92223722222222
Bulgaria,BGR,1988,63.966427777777774
Bulgaria,BGR,1989,64.21582777777778
Bulgaria,BGR,1990,59.20681805555555
Bulgaria,BGR,1991,54.24858861111111
Bulgaria,BGR,1992,62.574889444444445
Bulgaria,BGR,1993,60.63590083333333
Bulgaria,BGR,1994,58.66627888888889
Bulgaria,BGR,1995,61.48518166666667
Bulgaria,BGR,1996,62.81949138888889
Bulgaria,BGR,1997,58.28521027777778
Bulgaria,BGR,1998,58.92281361111111
Bulgaria,BGR,1999,49.72958916666666
Bulgaria,BGR,2000,49.94825638888889
Bulgaria,BGR,2001,52.304180555555554
Bulgaria,BGR,2002,51.50115222222222
Bulgaria,BGR,2003,54.02544388888889
Bulgaria,BGR,2004,52.780743055555554
Bulgaria,BGR,2005,48.589418888888886
Bulgaria,BGR,2006,50.09491083333334
Bulgaria,BGR,2007,56.33936027777778
Bulgaria,BGR,2008,56.53613972222222
Bulgaria,BGR,2009,53.5786075
Bulgaria,BGR,2010,57.51613
Bulgaria,BGR,2011,72.23261583333333
Bulgaria,BGR,2012,65.27039777777777
Bulgaria,BGR,2013,55.695232777777775
Bulgaria,BGR,2014,59.64588555555556
Bulgaria,BGR,2015,68.23731527777778
Bulgaria,BGR,2016,59.52442166666666
Bulgaria,BGR,2017,66.27609027777778
Bulgaria,BGR,2018,61.27984222222222
Bulgaria,BGR,2019,56.7224525
Bulgaria,BGR,2020,45.14698416666666
CIS,,1981,4027.845244444444
CIS,,1982,4061.5602277777775
CIS,,1983,4057.7873777777777
CIS,,1984,4013.748222222222
CIS,,1985,2876.8976583333333
CIS,,1986,2988.708222222222
CIS,,1987,3023.923694444444
CIS,,1988,3102.548091666667
CIS,,1989,2989.7113
CIS,,1990,2871.748530555556
CIS,,1991,2689.861488611111
CIS,,1992,2578.749707777777
CIS,,1993,2307.5055975
CIS,,1994,2078.677776111111
CIS,,1995,1889.2557772222224
CIS,,1996,1809.530785555556
CIS,,1997,1734.6009680555553
CIS,,1998,1635.7421105555557
CIS,,1999,1684.7194330555556
CIS,,2000,1806.208195833333
CIS,,2001,1908.684772222222
CIS,,2002,1813.0690288888889
CIS,,2003,1979.389758055556
CIS,,2004,2047.3529763888887
CIS,,2005,2028.610063055556
CIS,,2006,2139.6580813888886
CIS,,2007,2180.3326891666666
CIS,,2008,2311.781351666667
CIS,,2009,2175.514632777777
CIS,,2010,2330.255148611111
CIS,,2011,2436.5544827777776
CIS,,2012,2585.135065833333
CIS,,2013,2640.3653263888887
CIS,,2014,2654.389176111111
CIS,,2015,2733.838076388889
CIS,,2016,2804.383108333333
CIS,,2017,2993.2775555555554
CIS,,2018,3200.7668361111114
CIS,,2019,3186.1398777777777
CIS,,2020,2937.957297222222
Canada,CAN,1981,269.3172336111111
Canada,CAN,1982,285.6330625
Canada,CAN,1983,296.11418888888886
Canada,CAN,1984,387.88893277777777
Canada,CAN,1985,413.0922161111111
Canada,CAN,1986,383.9216691666667
Canada,CAN,1987,387.2044575
Canada,CAN,1988,448.3874983333333
Canada,CAN,1989,477.3333386111111
Canada,CAN,1990,464.7502980555556
Canada,CAN,1991,485.5488519444445
Canada,CAN,1992,431.5361219444444
Canada,CAN,1993,458.6980719444445
Canada,CAN,1994,482.0191536111111
Canada,CAN,1995,500.2250469444445
Canada,CAN,1996,508.9485561111111
Canada,CAN,1997,527.2064372222222
Canada,CAN,1998,498.62861
Canada,CAN,1999,479.2760480555555
Canada,CAN,2000,454.52445277777775
Canada,CAN,2001,462.9013883333333
Canada,CAN,2002,398.4580425
Canada,CAN,2003,369.970305
Canada,CAN,2004,394.37389055555553
Canada,CAN,2005,410.78751694444446
Canada,CAN,2006,404.73532527777775
Canada,CAN,2007,415.14720666666665
Canada,CAN,2008,413.9311175
Canada,CAN,2009,385.47669527777776
Canada,CAN,2010,412.0089183333333
Canada,CAN,2011,412.4502777777777
Canada,CAN,2012,414.8230555555555
Canada,CAN,2013,423.7813888888889
Canada,CAN,2014,420.55694444444447
Canada,CAN,2015,379.01722222222224
Canada,CAN,2016,380.6036111111112
Canada,CAN,2017,369.53777777777776
Canada,CAN,2018,339.4161111111111
Canada,CAN,2019,316.3258333333333
Canada,CAN,2020,247.3583625
China,CHN,1981,3614.604
China,CHN,1982,3874.5345
China,CHN,1983,4154.8175
China,CHN,1984,4589.198
China,CHN,1985,5072.4245
China,CHN,1986,5198.61
China,CHN,1987,5396.9015
China,CHN,1988,5698.1185
China,CHN,1989,6130.173
China,CHN,1990,6279.519644444445
China,CHN,1991,6323.265888888889
China,CHN,1992,6491.749699999999
China,CHN,1993,6691.146049999999
China,CHN,1994,7210.024313888889
China,CHN,1995,7912.650763888889
China,CHN,1996,8121.80701111111
China,CHN,1997,8068.494508333333
China,CHN,1998,7745.746308333333
China,CHN,1999,7931.6443
China,CHN,2000,8226.111591666666
China,CHN,2001,8715.22973888889
China,CHN,2002,9307.321841666666
China,CHN,2003,10994.301994444444
China,CHN,2004,12873.730019444443
China,CHN,2005,14440.990188888887
China,CHN,2006,15449.55418611111
China,CHN,2007,16738.864930555555
China,CHN,2008,17349.282741666666
China,CHN,2009,17885.351891666665
China,CHN,2010,19367.24898888889
China,CHN,2011,21535.06720833333
China,CHN,2012,21789.30283333333
China,CHN,2013,22034.135552777778
China,CHN,2014,21680.76276388889
China,CHN,2015,21273.959438888887
China,CHN,2016,19671.231811111116
China,CHN,2017,20326.109319444444
China,CHN,2018,21352.949933333333
China,CHN,2019,22154.43870833333
China,CHN,2020,22475.08011388889
Colombia,COL,1981,32.02176277777778
Colombia,COL,1982,35.48201361111111
Colombia,COL,1983,40.55041416666666
Colombia,COL,1984,53.25993388888889
Colombia,COL,1985,72.01365777777777
Colombia,COL,1986,86.16120388888889
Colombia,COL,1987,117.11247166666666
Colombia,COL,1988,121.18099472222222
Colombia,COL,1989,151.68287944444444
Colombia,COL,1990,164.24955972222222
Colombia,COL,1991,160.74276583333332
Colombia,COL,1992,175.74093
Colombia,COL,1993,174.2403111111111
Colombia,COL,1994,181.8798255555556
Colombia,COL,1995,206.55577805555555
Colombia,COL,1996,237.2422308333333
Colombia,COL,1997,262.7447275
Colombia,COL,1998,269.31695666666667
Colombia,COL,1999,262.84102388888886
Colombia,COL,2000,306.8805775
Colombia,COL,2001,352.37654972222225
Colombia,COL,2002,316.85098527777774
Colombia,COL,2003,401.4604408333333
Colombia,COL,2004,432.4317916666666
Colombia,COL,2005,478.8747508333333
Colombia,COL,2006,528.8038647222222
Colombia,COL,2007,558.4456036111111
Colombia,COL,2008,587.2048827777777
Colombia,COL,2009,581.6551313888888
Colombia,COL,2010,593.9798619444445
Colombia,COL,2011,685.4781283333333
Colombia,COL,2012,711.2113580555556
Colombia,COL,2013,683.0241841666667
Colombia,COL,2014,707.6454083333333
Colombia,COL,2015,683.4352305555556
Colombia,COL,2016,723.0962011111111
Colombia,COL,2017,723.392246111111
Colombia,COL,2018,673.3402105555555
Colombia,COL,2019,673.8107130555555
Colombia,COL,2020,404.28642777777776
Czechia,CZE,1981,496.2209897222222
Czechia,CZE,1982,501.4459997222222
Czechia,CZE,1983,509.620785
Czechia,CZE,1984,517.1271358333333
Czechia,CZE,1985,510.8001833333333
Czechia,CZE,1986,509.73057222222224
Czechia,CZE,1987,506.9039588888888
Czechia,CZE,1988,494.7814863888888
Czechia,CZE,1989,473.7407813888889
Czechia,CZE,1990,422.0584897222223
Czechia,CZE,1991,394.4375333333333
Czechia,CZE,1992,365.3787261111111
Czechia,CZE,1993,357.6968186111111
Czechia,CZE,1994,326.8421930555556
Czechia,CZE,1995,316.6453861111111
Czechia,CZE,1996,320.4334788888889
Czechia,CZE,1997,325.276855
Czechia,CZE,1998,303.55846777777776
Czechia,CZE,1999,269.04248861111114
Czechia,CZE,2000,291.31521805555553
Czechia,CZE,2001,294.7864822222222
Czechia,CZE,2002,282.0840102777778
Czechia,CZE,2003,283.6000272222222
Czechia,CZE,2004,272.2294175
Czechia,CZE,2005,274.1187975
Czechia,CZE,2006,277.5099544444444
Czechia,CZE,2007,276.8405663888889
Czechia,CZE,2008,264.99173638888885
Czechia,CZE,2009,242.52396027777775
Czechia,CZE,2010,242.34268361111108
Czechia,CZE,2011,244.40384527777775
Czechia,CZE,2012,235.90388527777776
Czechia,CZE,2013,206.7583027777778
Czechia,CZE,2014,197.64938444444445
Czechia,CZE,2015,196.75517694444443
Czechia,CZE,2016,187.3556713888889
Czechia,CZE,2017,177.73419583333333
Czechia,CZE,2018,171.00909
Czechia,CZE,2019,156.24454916666664
Czechia,CZE,2020,118.65254833333334
Europe,,1981,5238.366716666666
Europe,,1982,5477.785744444444
Europe,,1983,5407.022272222222
Europe,,1984,4968.0937277777775
Europe,,1985,6525.848208333333
Europe,,1986,6651.0654583333335
Europe,,1987,6548.6291
Europe,,1988,6463.784527777778
Europe,,1989,6209.885686111111
Europe,,1990,5708.1919638888885
Europe,,1991,5181.325841666666
Europe,,1992,4914.369144444444
Europe,,1993,4464.545394444444
Europe,,1994,4058.7859388888887
Europe,,1995,4019.883475
Europe,,1996,3813.3382888888887
Europe,,1997,3814.891444444445
Europe,,1998,3493.5919805555554
Europe,,1999,3350.397955555555
Europe,,2000,3228.2933916666666
Europe,,2001,3203.836263888889
Europe,,2002,3175.918788888889
Europe,,2003,3151.6934861111117
Europe,,2004,3053.600338888889
Europe,,2005,2987.383641666667
Europe,,2006,2976.6171944444445
Europe,,2007,2920.106113888889
Europe,,2008,2853.008930555556
Europe,,2009,2697.934290277778
Europe,,2010,2666.6173622222223
Europe,,2011,2761.2154016666664
Europe,,2012,2767.8093025000003
Europe,,2013,2620.927375833333
Europe,,2014,2389.9070069444447
Europe,,2015,2193.2798544444445
Europe,,2016,2099.774642222222
Europe,,2017,2014.8277955555557
Europe,,2018,2022.1988172222225
Europe,,2019,1799.7942075
Europe,,2020,1536.7577077777778
European Union,,1981,4110.3745944444445
European Union,,1982,4352.655925
European Union,,1983,4299.359844444444
European Union,,1984,4325.908141666667
European Union,,1985,4449.041141666667
European Union,,1986,4432.538011111111
European Union,,1987,4359.998408333333
European Union,,1988,4302.673483333333
European Union,,1989,4119.911838888889
European Union,,1990,3713.3926138888887
European Union,,1991,3352.3765611111107
European Union,,1992,3196.2822416666663
European Union,,1993,3003.1359583333333
European Union,,1994,2878.9068888888887
European Union,,1995,2875.8185777777776
European Union,,1996,2808.7852722222224
European Union,,1997,2776.5688138888886
European Union,,1998,2479.3987691666666
European Union,,1999,2382.3116469444444
European Union,,2000,2295.4443069444446
European Union,,2001,2262.647463055556
European Union,,2002,2254.6306619444445
European Union,,2003,2248.508532222222
European Union,,2004,2180.7293983333334
European Union,,2005,2150.835902777778
European Union,,2006,2110.723325555556
European Union,,2007,2047.504086388889
European Union,,2008,1945.2554158333328
European Union,,2009,1821.459388055556
European Union,,2010,1792.9378238888887
European Union,,2011,1823.7548325
European Union,,2012,1829.3083383333333
European Union,,2013,1734.3088597222222
European Union,,2014,1663.2110180555555
European Union,,2015,1618.1889150000002
European Union,,2016,1510.7558627777778
European Union,,2017,1497.679344722222
European Union,,2018,1445.8171225
European Union,,2019,1265.4493222222222
European Union,,2020,1051.8224433333332
Germany,DEU,1981,1731.1663522222225
Germany,DEU,1982,1738.716392777778
Germany,DEU,1983,1642.87059
Germany,DEU,1984,1662.8279141666667
Germany,DEU,1985,1728.615478888889
Germany,DEU,1986,1669.0493625
Germany,DEU,1987,1616.066233888889
Germany,DEU,1988,1603.5988458333334
Germany,DEU,1989,1530.111064166667
Germany,DEU,1990,1454.1818855555557
Germany,DEU,1991,1234.5307444444445
Germany,DEU,1992,1135.4910716666668
Germany,DEU,1993,1021.6923783333332
Germany,DEU,1994,941.4317369444444
Germany,DEU,1995,919.3460666666666
Germany,DEU,1996,860.4739705555555
Germany,DEU,1997,824.1913297222221
Germany,DEU,1998,756.0475836111111
Germany,DEU,1999,735.9454858333334
Germany,DEU,2000,706.0866816666667
Germany,DEU,2001,677.5280352777778
Germany,DEU,2002,679.461833611111
Germany,DEU,2003,672.2003911111111
Germany,DEU,2004,679.3446761111112
Germany,DEU,2005,657.9307961111111
Germany,DEU,2006,620.4535169444445
Germany,DEU,2007,632.8358797222222
Germany,DEU,2008,582.6158280555555
Germany,DEU,2009,539.8027386111111
Germany,DEU,2010,533.7950008333333
Germany,DEU,2011,543.4825008333333
Germany,DEU,2012,555.5952786111111
Germany,DEU,2013,524.7561119444445
Germany,DEU,2014,513.2765091666666
Germany,DEU,2015,497.90944527777776
Germany,DEU,2016,460.9722230555556
Germany,DEU,2017,458.4444875
Germany,DEU,2018,439.4076233333333
Germany,DEU,2019,330.5277783333333
Germany,DEU,2020,272.0000005555556
Greece,GRC,1981,40.44723277777778
Greece,GRC,1982,42.38204611111111
Greece,GRC,1983,46.24902111111111
Greece,GRC,1984,50.270675
Greece,GRC,1985,56.265614444444445
Greece,GRC,1986,58.79976805555555
Greece,GRC,1987,69.42046555555555
Greece,GRC,1988,73.11574333333333
Greece,GRC,1989,82.81957694444445
Greece,GRC,1990,82.78815499999999
Greece,GRC,1991,80.28654083333333
Greece,GRC,1992,81.35301416666667
Greece,GRC,1993,83.30685416666667
Greece,GRC,1994,85.60610166666666
Greece,GRC,1995,87.34246416666666
Greece,GRC,1996,83.61039833333334
Greece,GRC,1997,89.62310833333333
Greece,GRC,1998,94.50538
Greece,GRC,1999,93.43890666666664
Greece,GRC,2000,95.61720333333334
Greece,GRC,2001,97.59896
Greece,GRC,2002,99.80981833333333
Greece,GRC,2003,95.08688
Greece,GRC,2004,99.39928166666668
Greece,GRC,2005,99.29694
Greece,GRC,2006,95.02058666666666
Greece,GRC,2007,97.56522833333334
Greece,GRC,2008,94.546085
Greece,GRC,2009,95.08571583333334
Greece,GRC,2010,85.07810083333334
Greece,GRC,2011,87.28198583333334
Greece,GRC,2012,93.55986333333333
Greece,GRC,2013,78.25012666666666
Greece,GRC,2014,74.24824833333334
Greece,GRC,2015,66.00332027777777
Greece,GRC,2016,46.20090777777778
Greece,GRC,2017,53.11735
Greece,GRC,2018,49.71599388888889
Greece,GRC,2019,59.63286
Greece,GRC,2020,30.49277638888889
Hungary,HUN,1981,83.50741888888889
Hungary,HUN,1982,83.7017761111111
Hungary,HUN,1983,80.29270027777777
Hungary,HUN,1984,78.43279
Hungary,HUN,1985,76.24481138888889
Hungary,HUN,1986,72.13165027777778
Hungary,HUN,1987,71.60767527777779
Hungary,HUN,1988,65.99191722222223
Hungary,HUN,1989,63.11499555555556
Hungary,HUN,1990,57.09429805555556
Hungary,HUN,1991,55.17229333333333
Hungary,HUN,1992,50.173681388888895
Hungary,HUN,1993,43.22422361111111
Hungary,HUN,1994,41.21289361111111
Hungary,HUN,1995,41.92777694444444
Hungary,HUN,1996,44.78287972222222
Hungary,HUN,1997,46.77155
Hungary,HUN,1998,42.74977694444444
Hungary,HUN,1999,39.51658222222222
Hungary,HUN,2000,38.56221083333333
Hungary,HUN,2001,35.13605611111112
Hungary,HUN,2002,34.42073055555555
Hungary,HUN,2003,35.54514388888889
Hungary,HUN,2004,27.06829583333333
Hungary,HUN,2005,20.33093805555556
Hungary,HUN,2006,20.429246388888888
Hungary,HUN,2007,20.61780361111111
Hungary,HUN,2008,19.69616083333333
Hungary,HUN,2009,18.09680333333333
Hungary,HUN,2010,18.529765
Hungary,HUN,2011,19.136536944444444
Hungary,HUN,2012,18.68322277777778
Hungary,HUN,2013,18.74430361111111
Hungary,HUN,2014,18.467916666666667
Hungary,HUN,2015,17.657643055555557
Hungary,HUN,2016,17.008642499999997
Hungary,HUN,2017,14.923139166666669
Hungary,HUN,2018,14.784615277777778
Hungary,HUN,2019,11.554311944444445
Hungary,HUN,2020,10.335887777777778
India,IND,1981,741.7437705555556
India,IND,1982,734.2449466666666
India,IND,1983,776.8370233333334
India,IND,1984,815.0645816666668
India,IND,1985,841.7091413888888
India,IND,1986,905.4258408333332
India,IND,1987,992.4842980555557
India,IND,1988,1055.135536666667
